,id,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
7327,5462,37,5,3062,2,7,4,7,3,4,1,59,0,39,38
6988,5212,30,2,8568,15,9,2,12,0,4,1,80,0,39,38
3874,2902,6,2,7832,11,8,2,6,0,2,1,0,0,44,38
10642,7950,33,5,53,9,12,2,3,0,4,1,0,0,37,38
7350,5481,30,2,3128,11,8,5,0,4,4,0,0,0,39,38
9141,6831,31,5,1952,10,15,2,9,0,4,1,0,0,64,38
16534,11565,71,2,8356,9,12,2,11,0,4,1,0,0,19,38
7272,5421,13,2,2101,0,5,2,13,0,4,1,0,0,54,38
13484,10059,5,4,7869,15,9,4,9,3,4,0,0,0,2,38
12911,9636,24,2,6022,11,8,0,2,4,4,1,21,0,39,23
9205,6875,35,2,8998,13,0,2,6,0,4,1,0,0,39,7
11038,8237,9,2,6083,11,8,2,2,0,4,1,0,0,39,38
10697,7994,22,2,4505,9,12,4,9,1,4,1,0,0,39,38
6504,4851,8,2,9500,9,12,4,11,1,4,1,0,0,37,38
15200,11316,11,2,1859,9,12,4,3,3,4,0,0,10,39,38
120,89,37,2,3091,11,8,2,6,0,4,1,0,0,44,38
12482,9319,48,3,8678,15,9,2,11,0,4,1,0,0,39,38
10692,7991,22,2,3491,15,9,0,11,1,4,0,0,0,37,38
3210,2411,42,2,3752,13,0,4,6,1,4,1,0,0,39,5
12894,9627,1,2,2632,1,6,4,11,3,4,0,0,0,48,38
12257,9152,6,2,7813,15,9,4,5,3,4,1,0,0,31,4
2873,2146,0,2,2958,1,6,4,8,3,4,0,0,0,24,38
1568,1177,2,0,197,11,8,1,11,5,4,0,0,0,39,38
3248,2435,15,2,6418,15,9,4,2,1,4,1,63,0,44,38
4079,3051,40,4,2457,3,1,6,2,2,4,0,0,19,44,3
11082,8266,13,2,2228,9,12,4,11,3,4,1,0,0,17,38
3134,2348,33,2,4118,9,12,2,3,0,4,1,0,0,39,38
6458,4817,8,2,5490,12,13,4,9,3,4,0,0,0,34,38
9000,6731,8,2,126,7,11,0,0,4,4,0,0,0,39,38
4297,3211,11,2,1421,11,8,4,11,1,4,0,23,0,47,38
8492,6347,0,2,3521,2,7,4,11,3,4,1,0,0,19,38
1973,1489,38,2,9260,11,8,2,2,0,4,1,0,0,39,38
6497,4844,39,3,2498,15,9,2,3,0,4,1,0,26,39,38
4811,3582,8,2,6996,11,8,4,0,1,4,1,0,0,39,38
5761,4292,30,2,4173,15,9,2,0,0,4,1,0,0,43,38
497,372,23,0,9138,11,8,4,0,4,2,0,0,0,39,38
2637,1975,33,2,5596,7,11,2,3,0,4,1,0,0,49,38
4425,3288,24,2,4139,15,9,0,6,1,4,1,0,0,39,38
274,195,18,2,5589,11,8,2,7,0,4,1,0,0,39,38
6620,4943,9,5,6934,15,9,4,7,1,4,1,0,0,19,38
5681,4230,33,2,7558,4,2,3,7,4,4,0,0,0,33,25
15148,11304,32,5,2938,10,15,2,9,0,2,1,0,38,59,38
8723,6526,15,2,1128,9,12,4,12,1,1,0,0,0,39,29
12762,9527,36,1,4570,12,13,0,9,4,4,0,0,0,49,38
2959,2212,7,2,4943,15,9,4,11,3,4,0,0,0,16,38
4682,3481,20,2,4377,11,8,4,6,3,4,1,0,0,39,38
8909,6662,9,2,2236,11,8,4,13,1,4,1,0,0,68,38
5390,4014,30,1,7976,12,13,2,3,0,4,1,0,40,40,38
7305,5443,22,2,7470,11,8,4,3,1,4,1,0,0,39,38
11751,8772,25,2,3451,9,12,2,9,0,4,1,80,0,44,38
8011,5983,26,2,8835,14,14,5,12,1,4,1,0,0,49,3
11662,8706,37,3,2027,9,12,2,11,0,4,1,0,0,49,38
7848,5848,29,2,3238,4,2,4,6,3,4,0,0,0,39,5
6785,5061,35,2,3401,9,12,2,11,5,4,0,96,0,59,38
8239,6157,6,2,4913,15,9,4,7,3,4,0,0,0,39,5
3357,2519,42,2,7932,1,6,0,0,4,4,0,0,0,39,38
7428,5539,7,2,7944,9,12,4,9,1,4,1,0,0,42,38
7884,5878,28,2,8032,11,8,2,13,0,3,1,58,0,39,38
5653,4212,25,2,8724,15,9,4,6,1,4,0,0,0,39,38
11777,8789,14,2,6076,9,12,2,0,0,4,1,0,0,39,38
6291,4697,3,2,6443,11,8,4,11,3,4,0,0,0,24,25
6415,4781,9,2,4860,9,12,2,9,5,4,0,0,0,44,38
7676,5713,16,2,8148,12,13,2,12,0,4,1,0,0,14,38
10684,7984,10,2,5263,12,13,4,0,1,4,0,0,0,45,38
5397,4019,48,2,8590,15,9,2,3,0,4,1,0,0,39,38
4391,3269,39,2,6859,9,12,2,0,0,4,1,0,0,29,1
6319,4717,8,2,4812,9,12,4,11,1,4,0,0,0,39,38
11348,8463,13,2,1287,11,8,2,9,0,4,1,0,0,54,38
6198,4627,18,2,7084,15,9,4,11,4,4,1,0,0,49,38
12486,9322,25,3,4163,11,8,2,11,0,4,1,0,0,42,38
15065,11260,8,2,9319,15,9,4,13,1,2,1,0,0,39,38
3126,2343,14,0,8119,7,11,2,2,0,4,1,0,0,39,38
2457,1853,9,2,361,11,8,4,3,1,4,0,0,0,39,38
480,357,24,2,6008,11,8,2,2,0,4,1,0,12,43,38
3328,2498,15,2,8804,12,13,2,3,0,4,1,0,0,39,38
12076,9013,12,2,6906,8,10,4,0,3,2,0,0,0,39,38
4961,3690,11,2,693,11,8,4,0,1,4,0,0,0,39,38
15186,11310,12,2,3479,15,9,4,7,1,3,1,0,18,39,38
9409,7028,10,2,4221,11,8,2,0,5,2,0,0,37,39,38
13675,10203,26,2,5479,0,5,2,0,0,4,1,0,0,39,38
4593,3412,16,3,2756,11,8,6,11,4,4,0,0,0,39,38
13359,9968,42,0,5573,12,13,4,3,1,4,1,0,0,39,38
5302,3945,34,3,1865,7,11,4,11,1,4,0,0,0,24,38
15137,11299,26,2,3250,4,2,2,6,5,1,0,0,47,69,38
14913,11144,19,2,8062,15,9,2,3,0,4,1,0,0,44,38
12159,9078,16,2,3791,15,9,2,13,0,4,1,0,0,39,38
4319,3224,23,2,4755,8,10,0,0,4,4,0,0,0,49,38
4867,3627,9,2,1346,15,9,4,3,1,4,0,0,0,39,38
4436,3296,20,2,4627,11,8,2,2,0,4,1,0,0,39,38
4727,3515,4,2,7814,15,9,4,7,4,4,0,0,0,34,38
3257,2444,0,2,3107,0,5,4,11,3,4,0,0,0,14,38
6300,4704,45,3,5838,12,13,2,11,0,4,1,0,0,44,38
13844,10339,27,2,4664,15,9,0,6,4,4,1,0,0,57,38
14935,11164,40,2,1114,11,8,2,7,0,4,1,0,0,29,38
338,248,11,2,7766,11,8,2,2,0,4,1,0,0,37,38
13371,9976,13,2,7347,7,11,4,6,4,2,0,0,0,39,38
16990,11648,39,3,7642,11,8,2,3,0,4,1,0,0,39,38
5213,3878,23,2,8337,11,8,2,4,0,4,1,0,0,39,38
13117,9785,28,2,8909,2,7,4,7,3,4,1,0,0,9,25
8892,6648,21,2,2137,7,11,2,3,0,4,1,0,0,39,38
11457,8550,19,2,2330,8,10,2,3,5,4,0,80,0,54,38
6863,5124,20,2,6678,11,8,2,13,0,4,1,0,0,41,38
3592,2698,23,2,2270,8,10,2,3,0,4,1,0,0,49,38
10550,7877,25,5,3029,15,9,2,10,0,2,1,0,0,47,38
10068,7517,9,2,4442,15,9,2,2,0,4,1,0,0,44,38
16658,11590,5,2,4081,11,8,4,7,2,4,1,0,0,39,38
3195,2399,31,2,5443,11,8,2,6,0,4,1,0,0,39,38
12105,9033,50,1,5392,9,12,0,0,4,2,0,73,0,34,38
897,670,1,2,7471,11,8,4,6,1,4,1,0,0,39,38
7888,5881,18,2,8548,7,11,0,5,4,4,0,0,0,23,38
11630,8679,21,2,4398,9,12,0,0,4,1,0,0,1,39,29
10646,7954,38,1,6641,15,9,0,3,1,0,0,0,0,39,38
2097,1587,5,2,3754,11,8,4,7,3,4,0,0,0,34,38
3250,2437,19,2,4826,8,10,2,6,0,4,1,43,0,39,38
4642,3449,21,2,2197,9,12,2,3,0,4,1,0,0,54,38
2732,2046,13,2,8259,11,8,4,13,1,4,1,0,0,59,38
14702,10989,24,2,7086,11,8,3,13,4,2,1,0,0,49,38
11317,8442,39,2,7197,11,8,2,2,0,4,1,0,0,39,38
2983,2231,3,2,4849,11,8,4,0,3,4,0,0,0,39,38
2331,1760,1,4,6296,11,8,4,4,3,4,1,0,0,10,38
14414,10758,16,2,1262,11,8,4,2,3,1,1,0,0,39,38
6895,5146,3,2,8617,15,9,4,7,3,4,0,0,0,39,38
4217,3149,34,2,1332,11,8,2,11,0,4,1,0,0,54,38
6559,4894,30,2,4003,11,8,0,3,4,4,0,0,0,42,38
11179,8337,45,2,6647,5,3,2,9,0,4,1,0,0,19,38
6633,4953,30,1,4107,11,8,2,3,0,4,1,0,0,39,38
10731,8015,26,2,1783,12,13,2,9,0,3,1,0,0,49,38
5063,3768,14,2,8034,9,12,2,12,0,4,1,0,0,42,38
8963,6704,34,2,2512,8,10,2,2,0,4,1,43,0,49,38
4169,3113,37,4,2051,11,8,2,2,0,4,1,0,0,34,38
9193,6865,0,2,2122,1,6,4,11,3,4,0,0,0,24,38
14413,10757,27,2,8710,9,12,2,6,0,4,1,0,40,39,38
13902,10379,48,2,9421,9,12,2,11,0,4,1,0,0,14,38
4926,3663,60,2,5167,15,9,6,8,1,4,0,0,0,19,38
1137,859,4,2,5719,15,9,4,0,3,4,0,0,0,14,38
2701,2022,31,2,2238,15,9,5,0,2,2,0,0,0,39,38
2539,1906,33,2,1251,11,8,2,9,0,4,1,0,0,39,38
9184,6859,14,2,3595,7,11,4,2,3,3,1,0,0,49,38
12717,9490,26,2,9238,9,12,2,3,0,4,1,0,40,49,38
4375,3261,40,2,7206,12,13,2,3,0,4,1,0,0,59,38
8363,6246,15,2,4778,0,5,2,2,0,4,1,0,0,39,38
8180,6109,3,2,1011,15,9,4,0,3,4,0,0,0,11,38
1201,908,21,2,4330,1,6,3,13,3,4,1,0,0,35,25
15847,11442,1,2,1113,1,6,4,11,3,3,0,0,0,19,38
15225,11324,13,3,8507,12,13,2,3,0,4,1,96,0,59,38
5344,3977,14,2,3267,15,9,2,3,0,4,1,0,0,39,38
2050,1551,4,2,906,15,9,4,2,1,4,1,0,0,68,38
11671,8711,20,2,462,15,9,4,0,1,4,0,0,0,39,38
4634,3444,19,2,2137,15,9,2,2,0,4,1,0,0,44,38
10673,7975,11,2,1698,11,8,2,0,0,2,1,0,0,39,38
1342,1008,39,2,3392,11,8,0,0,4,4,0,0,0,31,38
5320,3960,31,2,3689,11,8,0,13,1,4,1,0,0,64,38
6151,4590,22,4,5501,11,8,2,11,0,4,1,0,0,68,38
7618,5664,31,1,1248,8,10,4,10,4,4,1,0,0,47,38
13035,9721,28,5,7357,11,8,5,0,3,4,0,0,0,39,38
11535,8608,32,5,8659,0,5,2,7,0,4,1,0,0,39,38
7329,5464,3,2,6389,15,9,4,0,3,4,0,0,0,19,38
1511,1133,2,2,2628,15,9,4,11,3,4,0,0,0,19,38
2449,1847,18,2,586,15,9,2,0,5,4,0,83,0,19,38
940,705,13,4,4157,8,10,2,9,0,4,1,96,0,64,38
7739,5766,28,2,1678,1,6,6,0,4,4,0,0,0,39,38
15845,11441,15,2,7213,11,8,2,6,0,1,1,0,0,39,38
1067,801,24,2,3124,0,5,4,5,4,4,1,0,0,49,38
6148,4587,17,5,8,15,9,3,0,4,1,0,0,0,37,29
4284,3200,13,2,2004,15,9,2,13,0,4,1,0,0,55,38
5989,4468,22,2,8456,0,5,5,7,3,2,0,0,0,11,38
10717,8004,14,1,9073,15,9,2,10,0,4,1,96,0,55,38
11629,8678,22,2,7674,11,8,2,4,0,4,1,0,0,44,38
2849,2129,3,2,7917,15,9,4,7,1,4,1,0,0,39,38
9472,7075,11,4,290,2,7,0,7,4,4,0,0,0,29,38
9555,7143,18,2,774,2,7,4,11,1,2,0,0,0,39,38
11409,8507,9,2,3882,8,10,2,5,0,4,1,0,0,74,38
13890,10369,25,1,9363,9,12,5,3,1,4,1,0,0,44,38
8709,6514,22,2,6701,11,8,2,4,0,4,1,0,0,23,38
5637,4200,14,2,8691,11,8,2,2,0,4,1,0,35,39,38
9933,7427,24,0,7,9,12,2,0,5,1,0,0,0,39,29
652,488,19,2,9176,9,12,2,9,0,4,1,0,12,49,38
15864,11448,36,5,1884,10,15,2,9,0,4,1,0,0,39,38
2556,1920,9,2,3847,11,8,4,6,3,4,1,0,0,39,38
15014,11222,44,2,3457,11,8,2,7,0,2,1,0,0,39,38
1859,1401,3,5,6396,15,9,4,2,3,4,1,0,0,37,38
12716,9489,28,2,8043,1,6,6,7,4,4,0,0,0,39,38
7976,5952,26,2,9548,0,5,2,13,0,4,1,0,0,39,40
14667,10962,30,2,4346,11,8,0,11,4,4,0,0,0,44,38
9797,7326,1,2,1211,6,4,4,6,3,4,1,0,0,39,25
4586,3405,17,2,814,1,6,0,2,4,4,1,0,0,39,38
7575,5637,25,1,7036,12,13,2,9,0,4,1,0,0,34,38
17081,11664,10,2,2496,15,9,2,2,0,4,1,0,0,54,38
5248,3901,33,3,1714,9,12,6,11,4,4,1,0,0,64,38
8859,6627,2,2,5068,15,9,4,7,3,4,0,0,0,19,38
12949,9658,45,4,95,5,3,6,7,1,4,0,0,0,65,38
16249,11515,20,0,1256,11,8,0,9,4,1,0,0,0,39,38
11488,8569,21,2,9595,11,8,0,0,4,4,0,0,0,19,38
9785,7316,21,2,6560,11,8,0,7,1,4,0,0,0,19,38
8978,6715,11,2,6381,11,8,2,13,0,4,1,0,0,49,38
1257,946,41,2,8863,11,8,2,0,5,4,0,0,0,39,38
3455,2590,20,1,6476,9,12,2,9,0,4,1,0,37,39,38
9994,7472,33,1,4226,11,8,0,7,4,4,0,0,0,48,5
87,65,2,2,8872,11,8,4,7,3,2,1,0,0,24,38
4971,3699,15,2,911,1,6,0,7,4,4,0,0,0,14,38
5172,3846,45,4,4326,9,12,2,9,0,4,1,0,0,59,38
7471,5568,25,2,5227,15,9,2,2,0,4,1,0,0,39,38
9136,6828,52,2,2606,11,8,2,2,0,4,1,0,0,15,38
9685,7248,21,2,5121,11,8,2,6,0,4,1,0,0,39,38
13185,9830,34,2,7756,5,3,0,6,1,4,0,0,0,47,38
16877,11629,10,2,7712,5,3,4,7,1,4,1,0,0,23,38
5842,4354,30,2,6968,12,13,0,9,4,4,0,0,0,39,38
8123,6069,20,2,9563,9,12,2,3,0,4,1,96,0,39,38
468,346,26,5,9347,15,9,0,0,1,2,0,0,0,39,38
14201,10604,10,2,154,11,8,1,2,0,4,1,0,0,39,38
11645,8692,21,2,1269,11,8,4,5,1,4,1,3,0,49,38
6866,5127,15,2,6131,11,8,4,6,4,2,0,0,0,39,38
7236,5397,25,3,3274,15,9,4,11,1,4,1,0,0,59,38
5538,4126,24,5,3291,9,12,2,9,0,4,1,0,0,39,38
967,723,47,3,5077,14,14,2,9,0,4,1,104,0,34,38
2644,1980,30,2,313,9,12,2,3,0,4,1,43,0,59,38
2735,2049,1,2,1891,11,8,4,0,3,2,1,0,0,39,38
4198,3132,32,5,401,9,12,2,3,0,4,1,0,0,44,38
8027,5996,37,2,6762,2,7,2,2,0,4,1,0,0,39,38
11658,8703,23,2,950,15,9,2,0,0,2,1,0,0,54,38
7501,5586,33,2,6457,11,8,2,0,5,4,0,0,0,39,38
262,185,11,2,4838,1,6,4,13,3,4,1,0,0,49,38
2270,1715,13,4,4579,7,11,2,11,0,4,1,0,0,59,19
1647,1238,1,2,1191,1,6,2,5,3,4,1,0,0,39,38
14324,10692,43,5,8910,9,12,0,9,1,4,0,0,56,39,38
5844,4355,35,0,5921,11,8,0,0,1,4,0,0,0,42,38
9129,6824,33,2,2027,12,13,2,3,0,4,1,104,0,59,38
13183,9829,9,2,6309,11,8,4,6,1,4,1,0,0,39,38
15560,11392,18,2,4434,11,8,3,2,1,1,1,0,0,39,38
9956,7443,42,3,5156,15,9,2,2,0,4,1,0,0,49,38
10203,7612,6,2,6384,9,12,4,0,1,4,0,0,0,39,38
1533,1152,45,2,2112,15,9,6,8,4,4,0,0,0,39,38
8622,6443,22,1,5970,12,13,2,9,0,4,1,80,0,39,38
1507,1131,10,4,6171,15,9,2,3,0,4,1,0,0,44,38
1502,1128,1,2,122,1,6,4,3,3,4,0,0,0,24,38
12580,9395,18,2,8703,7,11,4,0,1,4,0,0,0,34,38
14898,11135,27,2,2654,11,8,2,3,5,4,0,43,0,39,38
12393,9250,7,2,1004,11,8,4,7,3,2,1,0,0,39,38
11229,8377,30,2,5447,11,8,2,0,0,4,1,0,0,49,38
2677,2004,4,2,632,11,8,0,6,2,4,1,0,0,39,38
6194,4623,35,2,5747,8,10,5,7,4,4,0,0,0,34,38
9683,7247,4,2,3326,2,7,4,4,1,4,1,0,0,39,38
3680,2759,14,1,4550,9,12,0,9,1,4,0,0,0,39,38
9105,6809,14,0,9458,15,9,4,12,1,4,1,0,0,39,38
1435,1079,37,2,5193,9,12,0,11,1,4,0,0,10,37,38
9195,6867,32,1,3303,4,2,2,7,0,4,1,0,0,39,38
9477,7079,34,2,2853,11,8,0,7,1,4,0,0,0,39,38
1805,1358,21,4,7413,1,6,0,3,1,4,1,0,0,54,38
7243,5403,12,2,7711,0,5,4,2,1,4,1,0,0,39,25
710,529,40,2,2936,11,8,6,3,4,4,0,0,0,44,38
12109,9036,47,1,4917,11,8,6,7,4,4,0,0,0,39,38
12802,9553,43,2,3428,15,9,2,2,0,0,1,0,0,39,38
9428,7043,18,2,2281,9,12,0,11,1,4,0,0,0,39,38
13667,10195,4,2,7782,15,9,4,2,3,4,1,0,0,39,38
3026,2267,5,2,6220,15,9,4,2,1,4,1,0,0,49,38
1718,1291,32,2,1776,12,13,2,9,5,4,0,0,40,39,38
11737,8759,42,4,1236,11,8,0,7,3,4,0,0,0,23,38
11344,8459,31,2,2321,9,12,2,11,0,4,1,0,0,39,38
6541,4880,3,2,7001,11,8,4,0,1,4,1,0,0,39,38
11472,8559,31,2,3843,8,10,2,11,0,4,1,0,0,39,38
4064,3040,22,2,3485,12,13,0,3,4,2,0,95,0,59,38
1391,1045,4,2,5039,11,8,4,11,3,4,1,0,0,39,38
7009,5228,17,2,8206,11,8,2,2,0,2,1,0,0,39,38
13061,9743,29,5,9287,15,9,4,3,1,4,0,0,0,39,38
2734,2048,17,4,1241,11,8,0,4,1,4,1,0,0,39,38
11880,8866,7,2,9208,15,9,2,2,0,4,1,0,0,55,38
2280,1723,33,1,3653,15,9,0,0,1,2,0,0,0,39,38
8353,6239,20,2,4451,12,13,2,3,0,4,1,0,0,39,38
9894,7396,11,2,2479,9,12,2,3,5,4,0,96,0,27,38
1856,1398,25,3,8812,9,12,2,3,0,4,1,0,0,44,38
9104,6808,37,4,1288,14,14,2,9,0,4,1,0,0,29,38
5008,3729,39,2,3822,11,8,2,2,0,4,1,0,0,39,38
6943,5182,5,1,2629,15,9,4,9,1,4,0,0,0,20,38
641,479,18,2,2048,11,8,5,6,4,4,1,0,0,39,38
9535,7126,6,2,3592,11,8,4,5,4,2,0,0,0,6,38
11742,8763,15,0,2152,14,14,2,9,0,4,1,0,0,39,38
12259,9153,9,2,1605,7,11,2,6,0,4,1,69,0,39,38
6698,4998,38,2,2057,15,9,0,0,1,4,0,0,0,37,38
12953,9662,22,1,8560,12,13,2,3,0,4,1,0,0,44,38
6999,5221,3,2,7226,15,9,4,2,1,4,0,0,0,39,38
14363,10720,11,2,4216,11,8,4,2,3,4,1,0,0,39,38
597,448,27,2,7641,12,13,2,2,0,4,1,96,0,44,38
6634,4954,18,2,7646,11,8,2,7,5,4,0,0,0,37,38
11319,8444,5,2,5959,15,9,5,11,4,4,0,0,0,42,38
11521,8599,15,2,1520,11,8,2,2,0,4,1,0,0,39,38
6652,4965,19,2,7410,11,8,4,2,3,2,1,0,0,29,38
11722,8748,17,2,9561,11,8,5,0,1,4,1,0,0,47,38
3507,2631,42,2,5280,9,12,2,5,0,4,1,0,0,39,21
10647,7955,2,2,5161,11,8,4,2,3,4,1,0,0,19,38
8991,6723,13,0,8124,9,12,4,10,1,4,0,0,0,59,38
13239,9874,16,2,293,7,11,2,10,0,4,1,0,0,39,38
8075,6037,35,2,4506,11,8,2,11,0,4,1,0,0,39,38
5791,4315,52,4,443,8,10,2,11,0,4,1,0,0,7,38
8222,6145,40,3,2643,15,9,2,3,0,4,1,0,0,39,38
11095,8274,17,2,293,15,9,2,7,0,4,1,0,0,39,38
2743,2054,38,2,1892,10,15,2,9,0,4,1,0,0,39,38
9949,7438,24,3,1100,9,12,6,9,4,4,0,0,0,39,38
13404,10001,8,2,708,2,7,4,7,2,4,1,0,0,39,38
4734,3519,24,2,1970,9,12,2,12,0,4,1,0,0,37,38
3447,2582,1,2,3986,11,8,2,3,5,4,0,0,0,39,38
2566,1929,9,4,7380,9,12,0,11,1,4,1,0,0,39,38
15261,11337,37,3,8266,9,12,2,6,0,1,1,83,0,39,38
1758,1321,5,2,2557,1,6,4,11,1,4,0,0,0,39,38
1830,1378,30,3,6036,11,8,2,9,0,4,1,0,0,37,10
10196,7608,16,1,4247,8,10,4,0,3,4,1,0,25,54,38
5980,4460,31,2,4659,11,8,0,3,1,4,0,0,0,39,38
4970,3698,2,2,3076,15,9,4,0,3,4,0,0,0,9,38
1521,1142,13,4,4579,15,9,3,2,3,4,1,0,0,59,38
2218,1676,3,2,6922,11,8,4,2,3,4,1,0,0,39,38
7462,5563,42,2,5006,15,9,2,11,0,4,1,0,0,39,38
13600,10144,28,2,1734,11,8,0,7,1,4,1,0,41,39,38
14095,10527,12,2,2291,9,12,2,12,0,4,1,0,0,39,38
2352,1776,13,2,1847,11,8,4,10,1,4,1,0,0,87,38
4518,3356,6,2,5455,11,8,2,5,0,4,1,0,0,39,38
7290,5431,39,2,9335,15,9,0,7,1,4,0,0,0,49,38
2312,1748,2,2,4682,11,8,4,11,3,4,1,0,0,34,38
8118,6067,23,2,1472,11,8,2,5,0,4,1,0,0,39,38
11412,8510,0,2,2359,1,6,4,5,3,4,1,0,27,17,38
12828,9574,23,2,799,5,3,0,4,4,4,0,0,0,39,38
1001,749,5,2,5325,15,9,4,11,1,4,0,0,0,19,38
12231,9130,24,1,3791,9,12,2,10,0,4,1,0,0,49,38
6672,4980,11,0,8723,11,8,4,2,1,4,1,0,0,39,38
2244,1695,17,2,4759,15,9,2,6,0,4,1,0,0,39,38
4157,3103,42,2,6898,12,13,2,3,0,4,1,0,0,39,38
655,491,30,2,9451,11,8,2,7,0,4,1,0,0,39,38
14275,10662,6,5,385,15,9,4,7,1,4,1,0,0,49,38
15012,11220,13,3,8888,11,8,2,5,0,4,1,0,0,59,38
9920,7417,8,2,2642,15,9,4,0,3,4,0,0,0,39,38
12253,9148,28,0,6975,7,11,4,0,1,4,1,0,0,39,3
6464,4821,12,2,8489,11,8,4,10,1,1,1,0,0,39,29
9589,7169,14,2,7097,9,12,2,0,5,4,0,0,0,39,38
6734,5024,11,2,7176,1,6,5,2,4,4,0,0,0,39,38
1027,770,8,1,5418,9,12,4,9,3,4,0,0,0,39,38
9664,7232,46,2,3642,15,9,6,7,1,4,0,0,0,39,38
13138,9798,28,1,3839,12,13,2,3,0,4,1,83,0,49,38
2721,2037,24,2,620,15,9,0,3,1,4,0,0,0,39,38
2117,1600,43,3,5677,15,9,2,3,0,4,1,83,0,49,38
1009,755,0,3,908,0,5,4,2,3,4,1,0,0,39,38
5294,3937,9,2,7762,15,9,4,7,2,4,1,0,0,39,26
1174,886,28,2,1607,1,6,0,0,4,4,0,0,0,15,38
10420,7774,7,2,8322,5,3,4,5,2,4,1,0,0,39,25
4288,3203,4,2,6293,15,9,4,9,3,4,0,0,0,7,38
430,319,12,2,3380,15,9,4,11,3,4,0,0,0,39,38
12197,9106,5,2,1682,11,8,2,3,0,4,1,0,0,47,38
14995,11206,14,2,6234,11,8,2,13,0,4,1,0,0,64,38
987,738,10,2,5517,11,8,4,8,1,4,0,0,0,59,38
7516,5596,32,3,581,7,11,2,2,0,4,1,0,0,39,38
15008,11217,4,2,7351,11,8,4,5,2,4,1,0,0,19,25
3055,2288,47,2,3473,12,13,4,9,2,4,0,0,0,7,38
14800,11063,34,2,8045,9,12,2,11,0,4,1,83,0,49,38
14179,10584,13,2,8375,11,8,2,13,0,4,1,0,0,39,38
5968,4451,25,2,5703,15,9,2,7,0,4,1,0,0,39,38
4269,3190,12,2,5507,9,12,4,3,3,4,1,0,0,39,38
4832,3601,2,2,8464,1,6,4,8,1,4,0,0,0,34,38
10823,8084,6,2,9222,15,9,4,5,2,4,0,0,0,17,38
14969,11188,23,2,8011,14,14,2,9,0,4,1,96,0,54,10
12996,9693,20,2,1122,11,8,2,2,0,4,1,0,0,68,38
7144,5327,16,1,7133,8,10,2,12,0,4,1,0,0,49,38
11338,8456,33,5,3884,11,8,6,12,4,2,0,0,0,39,38
4792,3568,15,5,8261,11,8,4,3,1,4,1,0,0,49,38
11912,8894,13,2,5302,9,12,4,6,1,4,0,0,0,39,38
5469,4074,36,2,5593,4,2,2,2,0,3,1,69,0,39,32
15833,11439,20,0,8542,12,13,2,9,0,4,1,0,0,39,38
11435,8530,33,2,2784,11,8,0,7,4,4,0,0,0,24,38
10632,7941,33,5,7798,9,12,2,3,0,4,1,0,0,39,38
10481,7826,25,1,5,9,12,2,9,5,4,0,0,0,49,38
7031,5244,12,4,7094,9,12,4,3,2,4,1,0,0,49,38
1857,1399,31,2,4629,1,6,2,6,0,4,1,0,0,39,38
12455,9299,4,2,3668,15,9,4,2,3,4,1,0,0,39,38
2723,2039,7,2,4644,8,10,4,2,3,4,1,0,0,39,38
13755,10267,13,2,5319,9,12,2,7,5,4,0,0,0,39,38
4531,3366,16,2,6345,11,8,0,4,1,4,1,0,0,39,38
11949,8922,11,2,6571,15,9,2,5,0,4,1,0,0,39,25
9791,7321,34,4,6003,11,8,2,13,0,4,1,0,0,49,38
8071,6033,45,3,6980,11,8,0,3,1,2,1,0,0,39,38
7205,5377,42,2,2575,15,9,2,3,0,4,1,0,0,39,38
5177,3850,16,2,2690,11,8,2,11,0,4,1,0,0,43,38
5700,4244,38,2,8535,7,11,2,12,0,4,1,0,0,24,38
6728,5020,15,2,5052,11,8,4,0,1,4,0,0,0,39,38
246,172,8,2,5099,11,8,2,5,0,4,1,0,0,39,38
8752,6551,1,2,7941,1,6,4,7,2,2,1,0,0,19,38
4937,3672,30,2,5377,12,13,2,9,0,1,1,0,0,44,18
14114,10543,13,2,7421,15,9,2,11,0,4,1,0,0,49,38
5462,4068,1,2,9162,11,8,4,0,3,4,1,0,0,24,38
3452,2587,8,2,7914,0,5,4,5,3,2,1,0,19,39,38
11307,8433,3,0,3381,11,8,4,7,1,4,0,0,0,39,38
607,455,18,2,5770,1,6,5,13,1,4,1,0,0,80,38
396,292,50,1,7442,11,8,0,10,1,2,1,0,0,19,38
8578,6412,4,1,7806,2,7,4,7,3,2,1,0,0,19,38
16337,11533,15,4,913,9,12,2,3,0,2,1,0,0,39,38
6893,5145,6,2,8024,11,8,4,2,3,4,1,0,0,39,3
7296,5435,9,2,4872,15,9,2,2,0,4,1,37,0,39,38
136,100,18,2,2196,11,8,6,7,3,4,0,0,0,39,38
14208,10610,19,1,4662,9,12,2,9,3,4,1,0,0,39,38
14239,10634,19,2,4740,15,9,0,0,4,4,1,0,0,39,1
11070,8256,45,2,4313,15,9,2,2,0,4,1,0,0,44,38
6623,4946,21,5,3458,11,8,4,7,4,2,0,0,0,39,38
5399,4021,11,2,9233,2,7,4,11,1,2,1,0,0,39,38
65,47,18,4,7450,4,2,2,7,5,4,0,0,0,14,25
4485,3332,19,2,3563,11,8,2,6,0,4,1,0,0,39,38
